Wave Flux FluxNorm
4960 0.997369045274 0.92963166938
4965 1.06819891726 0.995651055531
4970 1.03209184559 0.961996233904
4975 1.09757021688 1.02302757221
4980 0.979216631065 0.912712095623
4985 0.876572819091 0.817039446939
4990 1.04317144246 0.972323348212
4995 1.0424763036 0.971675420443
5000 0.981846626611 0.915163472234
5005 0.896103736065 0.835243900984
5010 0.970555804557 0.904639478328
5015 0.878609353489 0.818937667945
5020 0.929084076005 0.865984346179
5025 0.968051424707 0.90230518609
5030 1.00533011601 0.937052055562
5035 1.02680029233 0.957064062095
5040 0.878727142529 0.819047457217
5045 1.02694588405 0.957199765796
5050 0.943077709796 0.879027587498
5055 1.02186670322 0.952465542916
5060 1.0809645037 1.00754965364
5065 0.996965853329 0.929255860643
5070 0.984794192178 0.917910850761
5075 0.975346229995 0.909104556944
5080 0.889833674153 0.829399676973
5085 0.956090690794 0.891156778099
5090 1.01753691263 0.948429814647
5095 1.03529956929 0.964986101655
5100 0.908082583057 0.846409191886
5105 0.986398470122 0.919406172468
5110 0.928301974339 0.865255361777
5115 1.02470336009 0.95510954523
5120 1.0263814126 0.956673631031
5125 0.890933803368 0.830425089746
5130 0.917210327558 0.854917015944
5135 0.959096204981 0.893958169603
5140 0.873936677772 0.814582341952
5145 0.910416667622 0.848584754624
5150 0.906061165281 0.844525060841
5155 0.922823439151 0.860148907113
5160 0.96429693893 0.898805690194
5165 0.756247888021 0.704886511103
5170 0.639346918502 0.595924994842
5175 0.729618023117 0.680065241702
5180 0.87538285623 0.815930301667
5185 0.62496644264 0.582521184241
5190 0.916634008202 0.854379837928
5195 0.885279954278 0.82515522781
5200 1.0013895174 0.933379086883
5205 0.87603415974 0.816537371208
5210 0.871364105438 0.812184488595
5215 0.966435139408 0.90079867252
5220 1.01049467652 0.941865859464
5225 0.896837093252 0.835927451441
5230 0.910778305361 0.848921831352
5235 0.93853795162 0.874796151811
5240 1.04996932639 0.978659546645
5245 1.04039170125 0.969732396073
5250 0.969955455537 0.904079902648
5255 0.981515034384 0.914854400444
5260 1.0409750335 0.970276110697
5265 0.77772802334 0.724907800264
5270 0.720924563115 0.67196220725
5275 0.911024432474 0.849151242482
5280 0.998458121746 0.930646780069
5285 0.957678194925 0.892636465204
5290 1.09008881749 1.01605427998
5295 1.02508297911 0.955463382027
5300 0.938422342087 0.874688394022
5305 1.06318502089 0.990977683253
5310 1.0977711891 1.02321489519
5315 1.06055929005 0.988530281698
5320 1.04768700667 0.976532233092
5325 0.906280800776 0.844729779558
5330 0.849306106241 0.791624581794
5335 1.04702063064 0.9759111147
5340 0.965065421426 0.899521980387
5345 1.01044751345 0.941821899529
5350 0.988330900605 0.921207359886
5355 1.08395487344 1.01033692925
5360 1.09678728099 1.02229781024
5365 1.00320106163 0.935067598161
5370 0.887006360948 0.826764383742
5375 1.0269594743 0.957212433054
5380 1.03914831653 0.968573457142
5385 1.02011309236 0.950831030404
5390 0.992592692459 0.925179707629
5395 0.951267282171 0.886660956384
5400 0.943439727366 0.879365018262
5405 0.867941011467 0.808993877679
5410 0.923718602041 0.860983274066
5415 0.991014920336 0.923709091573
5420 1.02241979256 0.952981068607
5425 0.979984956691 0.9134282396
5430 0.954589973056 0.889757983196
5435 0.936371431163 0.872776772887
5440 1.0790943235 1.00580648871
5445 1.00100636572 0.933021957351
5450 1.04162961804 0.970886238428
5455 0.978645847171 0.912180077122
5460 1.06516972764 0.99282759654
5465 0.999422756932 0.931545901033
5470 1.04778976275 0.976628010387
5475 0.972533401448 0.906482764629
5480 0.971614784166 0.905626536214
5485 1.02919029151 0.959291741946
5490 1.00539091527 0.937108725577
5495 1.02191310815 0.952508796206
5500 1.03690081949 0.966478601252
5505 1.00348289941 0.935330294633
5510 1.0157103851 0.946727337674
5515 0.985392263462 0.9184683034
5520 1.05100653494 0.979626312084
5525 1.03725860679 0.966812089047
5530 0.957098260792 0.892095917912
5535 1.01541535343 0.946452343385
5540 1.01858158149 0.949403533718
5545 1.02520447559 0.955576626942
5550 1.07286474646 1.0
5555 1.02663375952 0.956908839536
5560 1.02937504244 0.959463945321
5565 0.991118799592 0.923805915759
5570 0.967660414709 0.90194073195
5575 0.976631317339 0.910302366219
5580 1.02803448245 0.958214430887
5585 0.959351171142 0.894195819468
5590 0.889961886103 0.829519181273
5595 0.96759312878 0.901878015816
5600 0.959304900295 0.894152691154
5605 1.01266723538 0.943890866689
5610 1.07223991502 0.999417604647
5615 0.946205930971 0.881943352217
5620 1.00055784198 0.932603895577
5625 0.965004548019 0.899465241261
5630 1.04780528426 0.976642477738
5635 1.0125201851 0.943753803486
5640 0.999306707901 0.931437733596
5645 1.01205096792 0.943316453688
5650 1.02451416752 0.954933201876
5655 0.995173874257 0.927585585729
5660 0.945963455213 0.881717344456
5665 1.0006644031 0.932703219485
5670 1.02290293937 0.953431401996
5675 1.04681768666 0.97572195387
5680 1.03346616521 0.963277215152
5685 0.984326589867 0.917475006157
5690 0.994124143287 0.926607148351
5695 1.0342047752 0.963965661666
5700 0.989262209776 0.922075418208
5705 0.978636814743 0.912171658141
5710 0.899842213418 0.838728475685
5715 0.994389915111 0.92685487
