Wave Flux FluxCon
3529.8 1.19306 1.18962951989
3530.2 1.187465 1.1895687539
3530.6 1.179306 1.18952085009
3531.0 1.183897 1.18949442636
3531.4 1.195682 1.18948697726
3531.8 1.195149 1.18948759376
3532.2 1.18953 1.18948282948
3532.6 1.189416 1.18946199336
3533.0 1.189199 1.1894219145
3533.4 1.189486 1.18936928017
3533.8 1.190403 1.18932007481
3534.2 1.190095 1.18929642413
3534.6 1.186339 1.18932246442
3535.0 1.185978 1.18941929813
3535.4 1.189209 1.18960096418
3535.8 1.189576 1.18987154944
3536.2 1.190336 1.19022409949
3536.6 1.186835 1.19064121212
3537.0 1.188983 1.19109762585
3537.4 1.194588 1.19156391242
3537.8 1.193156 1.19201110581
3538.2 1.195458 1.19241489091
3538.6 1.1974 1.19275861814
3539.0 1.189084 1.19303511999
3539.4 1.192267 1.19324620805
3539.8 1.197142 1.19340022493
3540.2 1.195341 1.19350936803
3540.6 1.191467 1.1935865686
3541.0 1.190884 1.19364329206
3541.4 1.19322 1.19368835499
3541.8 1.19743 1.19372782913
3542.2 1.193833 1.19376570399
3542.6 1.193585 1.1938051527
3543.0 1.192875 1.19384937412
3543.4 1.19401 1.19390191207
3543.8 1.193357 1.19396640198
3544.2 1.195461 1.19404614958
3544.6 1.192719 1.19414354302
3545.0 1.192603 1.19425982397
3545.4 1.195096 1.19439513432
3545.8 1.194766 1.19454882645
3546.2 1.195794 1.19471955569
3546.6 1.19586 1.19490534116
3547.0 1.192266 1.19510279964
3547.4 1.196253 1.19530684487
3547.8 1.194244 1.1955099826
3548.2 1.193981 1.19570229839
3548.6 1.197731 1.19587223824
3549.0 1.200674 1.19600786929
3549.4 1.195048 1.19609849827
3549.8 1.194792 1.19613588011
3550.2 1.197792 1.19611490995
3550.6 1.197905 1.19603378574
3551.0 1.196318 1.19589379881
3551.4 1.194068 1.19569861294
3551.8 1.196746 1.19545345181
3552.2 1.19809 1.19516465516
3552.6 1.192956 1.19483883624
3553.0 1.195948 1.19448241345
3553.4 1.193969 1.1941013033
3553.8 1.191568 1.19370107715
3554.2 1.192928 1.1932873712
3554.6 1.195665 1.19286687875
3555.0 1.193666 1.19244827982
3555.4 1.191334 1.19204327732
3555.8 1.191513 1.19166628189
3556.2 1.189438 1.19133364464
3556.6 1.190539 1.19106207906
3557.0 1.188936 1.19086619692
3557.4 1.191077 1.19075567271
3557.8 1.188092 1.1907333981
3558.2 1.190045 1.19079322128
3558.6 1.191249 1.19091895029
3559.0 1.189002 1.19108493977
3559.4 1.189299 1.19125750787
3559.8 1.192817 1.19139869845
3560.2 1.195039 1.19147088736
3560.6 1.1925 1.19144165682
3561.0 1.195546 1.19128884159
3561.4 1.195017 1.19100309935
3561.8 1.191907 1.19058880365
3562.2 1.188903 1.19006248082
3562.6 1.188761 1.18944969397
3563.0 1.188846 1.18878139859
3563.4 1.187249 1.18809062275
3563.8 1.188724 1.18741021499
3564.2 1.188263 1.18677097489
3564.6 1.181767 1.18620066527
3565.0 1.186109 1.18572203517
3565.4 1.185632 1.1853506545
3565.8 1.179404 1.18509216678
3566.2 1.18374 1.1849401024
3566.6 1.183056 1.18487540728
3567.0 1.183244 1.18486808249
3567.4 1.18623 1.18488149069
3567.8 1.186361 1.18487899107
