 Name SpType Teff e_Teff log(g) e_log(g) [Fe/H] e_[Fe/H]
600 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/118100.txt "K5Ve        " " 4239" "  25" " 4.53" " 0.07" -0.17 0.08
601 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/118244.txt "F5V         " " 6343" "  43" " 4.21" " 0.05" -0.50 0.06
602 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/118266.txt "K1III+...   " " 4746" "  22" " 2.76" " 0.07" -0.13 0.05
603 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/119516.txt "G5          " " 5315" "  52" " 2.62" " 0.15" -1.84 0.13
604 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/120136.txt "F6IV        " " 6318" "  33" " 4.15" " 0.05" " 0.20" 0.04
605 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/120164.txt "K0III+...   " " 4797" "  22" " 2.58" " 0.07" -0.10 0.05
606 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/120315.txt "B3V         " 17291 " 336" " 3.86" " 0.08" -0.14 0.07
607 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/120348.txt "K1III       " " 4659" "  20" " 2.44" " 0.07" -0.17 0.05
608 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/120452.txt "K0III       " " 4821" "  26" " 2.65" " 0.08" " 0.01" 0.06
609 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/120933.txt "K5III       " " 3509" "   6" " 1.01" " 0.11" -0.11 0.04
610 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/121146.txt "K2IV        " " 4385" "  20" " 2.70" " 0.08" -0.08 0.05
611 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/121299.txt "K2III       " " 4756" "  24" " 2.66" " 0.07" " 0.13" 0.05
612 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/121370.txt "G0IV        " " 5998" "  34" " 3.82" " 0.07" " 0.28" 0.05
613 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/121560.txt "F6V         " " 6133" "  30" " 4.27" " 0.05" -0.41 0.05
614 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/122408.txt "A3V         " " 8308" "  59" " 3.80" " 0.07" -0.27 0.08
615 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/122563.txt "F8IV        " " 4755" "  34" " 1.62" " 0.11" -2.37 0.07
6 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/1227.txt "G8II-III    " " 5068" "  41" " 2.81" " 0.10" " 0.00" 0.09
616 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/122956.txt "G6IV/Vw...  " " 4594" "  36" " 1.23" " 0.12" -1.85 0.09
90 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/12303.txt "B8III       " 12230 " 157" " 4.19" " 0.05" " 0.30" 0.08
617 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/123299.txt "A0III       " 10307 " 175" " 3.90" " 0.07" -0.14 0.09
91 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/12339.txt "G8III       " " 5022" "  27" " 2.51" " 0.07" -0.06 0.06
618 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/123657.txt "M4.5:III    " " 3235" "   8" " 0.48" " 0.15" -0.20 0.08
619 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/123934.txt "M1III       " " 3680" "   8" " 1.30" " 0.15" -0.23 0.06
620 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/123977.txt "K0III       " " 4799" "  25" " 2.51" " 0.08" -0.24 0.06
621 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/124186.txt "K4III       " " 4404" "  19" " 2.58" " 0.08" " 0.29" 0.04
622 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/124244.txt "G5          " " 5782" "  39" " 4.02" " 0.08" " 0.07" 0.06
623 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/124547.txt "K3III       " " 4141" "  16" " 1.73" " 0.10" -0.16 0.05
624 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/124570.txt "F6IV        " " 6114" "  31" " 3.95" " 0.06" " 0.10" 0.04
625 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/124850.txt "F7IV        " " 6226" "  29" " 3.90" " 0.05" -0.07 0.04
626 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/124897.txt "K1.5III     " " 4310" "  26" " 2.02" " 0.13" -0.54 0.08
627 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/125184.txt "G5IV        " " 5611" "  28" " 3.97" " 0.06" " 0.26" 0.05
92 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/12533.txt "K3IIb...    " " 4319" "  18" " 1.50" " 0.08" " 0.04" 0.05
628 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/125451.txt "F5IV        " " 6609" "  42" " 4.14" " 0.05" -0.07 0.05
629 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/125454.txt "G8III       " " 4842" "  23" " 2.58" " 0.07" -0.11 0.05
630 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/125560.txt "K3III       " " 4451" "  21" " 2.57" " 0.08" " 0.22" 0.05
631 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126141.txt "F5V         " " 6677" "  29" " 4.17" " 0.03" -0.08 0.04
632 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126271.txt "K4III       " " 4442" "  22" " 2.54" " 0.09" -0.01 0.05
633 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126327.txt "M7.5        " " 3088" "  17" " 0.30" " 0.36" -1.00 0.0
634 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126661.txt "F0m         " " 7613" "  45" " 3.47" " 0.05" " 0.36" 0.04
635 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126681.txt "G3V         " " 5631" "  70" " 4.38" " 0.13" -1.12 0.16
636 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126778.txt "K0III       " " 4847" "  29" " 2.47" " 0.09" -0.50 0.07
637 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/126868.txt "G2IV        " " 5707" "  49" " 3.67" " 0.11" " 0.01" 0.08
638 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/127334.txt "G5V         " " 5667" "  31" " 4.21" " 0.06" " 0.23" 0.05
639 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/127665.txt "K3III       " " 4307" "  18" " 2.17" " 0.09" -0.05 0.05
